"Waveform Data"
"Item","V1","A1","V2","A2","V3","A3"
232,433.77E+0,-667.30E-3,1.7118E+3,1.2777E+0,7.0926E+0,-635.51E-3
233,450.73E+0,-671.47E-3,1.7118E+3,1.2763E+0,34.414E+0,-577.04E-3
234,443.58E+0,-701.10E-3,1.7118E+3,1.2688E+0,22.141E+0,-602.24E-3
235,458.37E+0,-707.15E-3,1.7118E+3,1.2728E+0,48.785E+0,-539.85E-3
236,452.02E+0,-737.41E-3,1.7118E+3,1.2709E+0,37.066E+0,-567.12E-3
237,465.52E+0,-745.75E-3,1.7118E+3,1.2825E+0,63.525E+0,-492.54E-3
238,459.91E+0,-788.74E-3,1.7118E+3,1.2753E+0,51.745E+0,-530.97E-3
239,473.11E+0,-800.63E-3,1.7118E+3,1.2935E+0,78.388E+0,-444.19E-3
240,467.25E+0,-846.95E-3,1.7118E+3,1.2827E+0,66.053E+0,-487.37E-3
241,480.14E+0,-855.92E-3,1.7118E+3,1.2958E+0,97.137E+0,-392.75E-3
242,474.46E+0,-897.24E-3,1.7118E+3,1.2869E+0,81.719E+0,-435.52E-3
243,486.05E+0,-905.79E-3,1.7118E+3,1.2867E+0,111.82E+0,-357.63E-3
244,481.74E+0,-922.07E-3,1.7118E+3,1.2786E+0,99.789E+0,-384.69E-3
245,491.91E+0,-924.16E-3,1.7118E+3,1.2759E+0,127.97E+0,-322.51E-3
246,486.98E+0,-930.21E-3,1.7118E+3,1.2497E+0,115.64E+0,-348.95E-3
247,497.03E+0,-926.24E-3,1.7118E+3,1.2427E+0,141.91E+0,-291.52E-3
248,492.34E+0,-936.26E-3,1.7118E+3,1.2219E+0,130.44E+0,-317.75E-3
249,501.84E+0,-939.39E-3,1.7118E+3,1.2192E+0,157.33E+0,-245.24E-3
250,497.83E+0,-957.33E-3,1.7118E+3,1.1995E+0,145.00E+0,-282.84E-3
251,506.28E+0,-961.09E-3,1.7118E+3,1.1970E+0,172.44E+0,-201.44E-3
252,503.56E+0,-987.80E-3,1.7118E+3,1.1887E+0,160.05E+0,-238.21E-3
253,511.21E+0,-996.56E-3,1.7118E+3,1.1829E+0,185.83E+0,-148.96E-3
254,507.76E+0,-1.0325E+0,1.7118E+3,1.1825E+0,175.09E+0,-189.45E-3
255,516.14E+0,-1.0462E+0,1.7118E+3,1.1879E+0,203.03E+0,-91.111E-3
256,510.90E+0,-1.0936E+0,1.7118E+3,1.1860E+0,188.91E+0,-140.28E-3
257,520.09E+0,-1.1044E+0,1.7118E+3,1.1879E+0,216.35E+0,-48.965E-3
258,516.08E+0,-1.1416E+0,1.7118E+3,1.1852E+0,205.50E+0,-77.889E-3
259,523.54E+0,-1.1508E+0,1.7118E+3,1.1894E+0,229.80E+0,-2.4792E-3
260,520.33E+0,-1.1831E+0,1.7118E+3,1.1779E+0,219.13E+0,-36.569E-3
261,527.11E+0,-1.1850E+0,1.7118E+3,1.1788E+0,242.94E+0,40.494E-3
262,524.52E+0,-1.2081E+0,1.7118E+3,1.1638E+0,232.39E+0,7.4377E-3
263,529.83E+0,-1.2123E+0,1.7118E+3,1.1630E+0,258.29E+0,97.103E-3
264,528.10E+0,-1.2315E+0,1.7118E+3,1.1366E+0,246.45E+0,50.411E-3
265,529.83E+0,-1.2413E+0,1.7118E+3,1.1292E+0,272.60E+0,160.74E-3
266,529.03E+0,-1.2618E+0,1.7118E+3,1.1061E+0,260.27E+0,106.19E-3
267,529.03E+0,-1.2741E+0,1.7118E+3,1.0968E+0,286.11E+0,234.29E-3
268,526.44E+0,-1.3075E+0,1.7118E+3,1.0700E+0,273.96E+0,174.58E-3
269,525.57E+0,-1.3091E+0,1.7118E+3,1.0601E+0,301.53E+0,317.13E-3
270,521.01E+0,-1.3542E+0,1.7118E+3,1.0395E+0,288.58E+0,249.58E-3
271,519.10E+0,-1.3617E+0,1.7118E+3,1.0304E+0,313.99E+0,373.12E-3
272,513.18E+0,-1.3961E+0,1.7118E+3,1.0180E+0,304.12E+0,328.70E-3
273,510.28E+0,-1.4028E+0,1.7118E+3,1.0165E+0,324.41E+0,419.61E-3
274,503.93E+0,-1.4260E+0,1.7118E+3,1.0020E+0,316.02E+0,386.35E-3
275,502.45E+0,-1.4285E+0,1.7118E+3,1.0028E+0,334.21E+0,448.12E-3
276,496.04E+0,-1.4431E+0,1.7118E+3,992.23E-3,326.20E+0,426.01E-3
277,494.07E+0,-1.4458E+0,1.7118E+3,992.03E-3,344.82E+0,467.54E-3
278,488.71E+0,-1.4506E+0,1.7118E+3,977.09E-3,337.42E+0,456.80E-3
279,487.72E+0,-1.4318E+0,1.7118E+3,974.18E-3,353.95E+0,481.38E-3
280,481.80E+0,-1.4477E+0,1.7118E+3,952.81E-3,346.30E+0,472.09E-3
281,480.75E+0,-1.4178E+0,1.7118E+3,947.41E-3,363.08E+0,497.29E-3
282,476.19E+0,-1.4304E+0,1.7118E+3,917.33E-3,356.23E+0,485.72E-3
283,474.46E+0,-1.4051E+0,1.7118E+3,910.48E-3,373.69E+0,531.38E-3
